"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"52925089","PE(P-18:0/20:5(5Z,8Z,11Z,14Z,17Z))","HMDB0011387","52925089","-","-","-","[H][C@@](CO\C=C/CCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC","1"
"53480747","PC(P-18:1(11Z)/18:3(6Z,9Z,12Z))","HMDB0011278","53480747","89947","-","-","CCCCCC\C=C/CCCCCCCC\C=C/OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC","1"
"52922853","","-","-","-","-","-","NA","0"
"452110","PC(16:0/16:0)","HMDB0000564","452110","72999","C00157","5548","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC","1"
"5497103","PC(16:0/18:1(9Z))","HMDB0007972","5497103","73001","C00157","-","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"53480870","PE(P-18:1(11Z)/18:3(6Z,9Z,12Z))","HMDB0011410","53480870","-","-","-","[H][C@@](CO\C=C/CCCCCCCC\C=C/CCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC","1"
"5283564","Ceramide (d18:1/16:0)","HMDB0004949","5283564","72959","C00195","7202","CCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"53479831","PE(20:4(8Z,11Z,14Z,17Z)/P-18:1(9Z))","HMDB0009447","53479831","-","C00350","-","[H][C@@](COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)(COP(O)(=O)OCCN)O\C=C/CCCCCC\C=C/CCCCCCCC","1"
"52931179","","-","-","-","-","-","NA","0"
"5289133","PE(18:0/20:4(5Z,8Z,11Z,14Z))","HMDB0009003","5289133","78268","C00350","-","[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"53478671","PC(16:0/P-16:0)","HMDB0007994","53478671","89009","C00157","-","CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCCCCCCCC","1"
"8158","Pelargonic acid","HMDB0000847","8158","29019","C01601","5810","CCCCCCCCC(O)=O","1"
"6912","D-Xylitol","HMDB0002917","6912","1305691","C00379","-","OC[C@H](O)C(O)[C@H](O)CO","1"
"750","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"53479083","PC(20:4(8Z,11Z,14Z,17Z)/20:1(11Z))","HMDB0008472","53479083","-","C00157","-","CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"53480735","PC(P-18:1(11Z)/16:0)","HMDB0011272","53480735","89940","-","-","CCCCCCCCCCCCCCCC(=O)OC(CO\C=C/CCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"173570","","-","-","-","-","-","NA","0"
"53481719","PC(o-18:1(11Z)/16:0)","HMDB0013424","53481719","-","-","-","CCCCCCCCCCCCCCCC(=O)O[C@H](COCCCCCCCCCC/C=C\CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"53480884","PE(P-18:1(11Z)/22:4(7Z,10Z,13Z,16Z))","HMDB0011424","53480884","-","-","-","[H][C@@](CO\C=C/CCCCCCCC\C=C/CCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"52925079","PE(P-18:0/18:2(9Z,12Z))","HMDB0011376","52925079","90483","-","-","[H][C@@](CO\C=C/CCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"52924972","","-","-","-","-","-","NA","0"
"53480855","PE(P-18:0/20:4(8Z,11Z,14Z,17Z))","HMDB0011386","53480855","-","-","-","[H][C@@](CO\C=C/CCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC","1"
"53480857","PE(P-18:0/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0011392","53480857","90485","-","-","[H][C@@](CO\C=C/CCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"53480897","PE(P-18:1(9Z)/18:1(9Z))","HMDB0011441","53480897","-","-","-","[H][C@@](CO\C=C/CCCCCC\C=C/CCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"9543784","DG(18:3(9Z,12Z,15Z)/20:2(11Z,14Z)/0:0)","HMDB0007312","9543784","89239","-","-","[H][C@](CO)(COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC","1"
"53480895","PE(P-18:1(9Z)/18:0)","HMDB0011439","53480895","-","-","-","[H][C@@](CO\C=C/CCCCCC\C=C/CCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCCCCC","1"
"339","Ciliatine","HMDB0011747","339","15573","C03557","-","NCCP(O)(O)=O","1"
"5371086","","-","-","-","-","-","NA","0"
"440641","Beta-D-Fructose 6-phosphate","HMDB0003971","440641","16084","C05345","-","OC[C@@]1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O","1"
"11333","Lactulose","HMDB0000740","11333","6359","C07064","916","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O","1"
"444899","Arachidonic acid","HMDB0001043","444899","15843","C00219","193","CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"119389","","-","-","-","-","-","NA","0"
"2969","Capric acid","HMDB0000511","2969","30813","C01571","336","CCCCCCCCCC(O)=O","1"
"6857417","","-","-","-","-","-","NA","0"
"5960","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"439586","Maltotriose","HMDB0001262","439586","140999","C01835","3585","OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
"6021","Inosine","HMDB0000195","6021","17596","C00294","84","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1NC=NC2=O","1"
"10413","4-Hydroxybutyric acid","HMDB0000710","10413","30830","C01991","5678","OCCCC(O)=O","1"
"5789","Thymidine","HMDB0000273","5789","17748","C00214","3375","CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O","1"
"94391","Dehydroabietic acid","-","94391","-","-","-","","1"
"6106","L-Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"8221","Octadecanol","HMDB0002350","8221","32154","D01924","6640","CCCCCCCCCCCCCCCCCCO","1"
